,Arcella arenaria,Arcella arenaria compressa,Arcella catinus,Arcella costata,Arcella discoides,Arcella gibbosa,Archerella flavum,Assulina muscorum,Assulina seminulum,Awerintzewia cyclostoma,Bullinularia indica,Centropyxis cassis,Centropyxis ecornis,Centropyxis minuta,Centropyxis orbicularis,Corythion dubium,Euglypha ciliata,Euglypha ciliata glabra,Euglypha compressa,Euglypha compressa glabra,Euglypha laevis,Euglypha strigosa glabra,Euglypha tuberculata,Heleopera rosea,Heleopera sphagni,Heleopera sylvatica,Hyalosphenia elegans,Hyalosphenia papilio,Nebela collaris,Argynnia dentistoma,Alabasta militaris,Nebela tincta,Trigonopyxis arcula
185,467.1,116.8,0,0,0,0,0,0,0,0,0,0,0,817.4,0,0,0,0,0,0,0,0,0,0,0,350.3,0,0,0,0,0,116.8,0
190,256.9,0,0,0,0,0,0,0,0,0,0,0,0,513.8,0,256.9,0,0,0,0,256.9,0,0,0,256.9,2055.1,256.9,0,1027.6,0,0,256.9,0
195,578,0,0,0,0,0,385.3,0,0,0,0,0,0,770.7,0,0,0,0,0,192.7,0,192.7,0,0,0,0,0,0,385.3,0,0,192.7,192.7
200,4403.8,0,0,0,550.5,0,0,0,0,0,0,0,550.5,1101,0,2201.9,0,550.5,0,0,2201.9,0,550.5,0,0,8257.1,0,550.5,1101,0,1101,550.5,550.5
205,3082.7,2312,0,0,0,0,14642.7,770.7,0,0,0,0,770.7,2312,0,0,0,770.7,0,0,770.7,0,0,0,770.7,4624,0,6936,770.7,0,0,1541.3,0
210,3626.7,0,0,0,0,0,29013.3,1813.3,0,0,0,0,0,9066.7,0,0,0,0,0,0,906.7,0,0,0,906.7,3626.7,0,1813.3,906.7,0,906.7,0,1813.3
215,3082.7,1027.6,0,0,0,0,2055.1,1027.6,1027.6,0,0,0,1027.6,6165.3,1027.6,0,1027.6,1027.6,1027.6,0,1027.6,0,0,0,1027.6,12330.7,1027.6,0,4110.2,0,5137.8,1027.6,1027.6
220,856.3,0,0,0,0,0,26545.2,856.3,0,0,0,0,856.3,9419.3,856.3,0,0,0,0,0,856.3,0,0,0,1712.6,856.3,0,856.3,856.3,0,856.3,0,0
225,1926.7,963.3,0,0,0,0,51056.7,1926.7,963.3,0,0,0,0,11560,0,0,0,963.3,0,0,0,0,0,0,0,963.3,0,1926.7,963.3,0,0,0,963.3
230,963.3,0,0,0,963.3,0,88626.7,963.3,1926.7,0,0,0,0,963.3,0,0,0,0,0,0,0,0,963.3,0,963.3,1926.7,0,3853.3,963.3,0,0,0,963.3
235,0,0,0,0,0,0,62754.3,5504.8,3302.9,0,0,0,0,4403.8,0,0,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0
240,1622.5,0,0,0,0,0,45428.8,811.2,1622.5,0,0,0,0,0,0,811.2,0,0,0,0,0,0,0,0,0,811.2,0,4867.4,811.2,0,0,0,0
245,0,1027.6,0,0,0,0,121251.6,8220.4,1027.6,0,0,0,0,1027.6,0,1027.6,0,0,0,0,1027.6,0,0,0,0,2055.1,0,4110.2,1027.6,0,0,0,0
250,1445,0,0,0,0,0,128605,5780,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17340,0,0,2890,0,0
255,0,0,0,0,0,0,69360,7706.7,2568.9,0,0,0,0,1284.4,0,1284.4,0,0,0,0,26973.3,0,6422.2,0,0,0,0,6422.2,1284.4,0,0,1284.4,0
260,3556.9,0,0,0,0,0,60467.7,4742.6,1185.6,0,0,0,0,2371.3,0,1185.6,0,0,0,0,3556.9,0,2371.3,0,0,1185.6,0,3556.9,3556.9,0,0,2371.3,0
265,0,3082.7,0,0,0,0,30826.7,1541.3,3082.7,0,0,0,0,10789.3,0,0,0,0,0,1541.3,1541.3,0,3082.7,0,0,1541.3,0,1541.3,1541.3,0,0,3082.7,0
270,963.3,963.3,963.3,0,0,0,31790,2890,0,0,0,0,963.3,0,0,963.3,0,0,0,0,963.3,0,1926.7,0,0,0,0,963.3,963.3,0,0,0,0
275,0,1712.6,0,0,0,0,75354.1,1712.6,0,0,0,0,0,856.3,0,0,0,0,0,0,856.3,0,2568.9,0,0,0,856.3,856.3,856.3,0,1712.6,856.3,0
280,3425.2,0,0,0,0,0,34251.9,0,0,0,0,0,1712.6,1712.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1712.6,0,0,0,0,0
